year_month,year,month,source,count
2018-10,2018,10,freedom_forever,19
2018-10,2018,10,records,31
2018-10,2018,10,solarcity,6
2018-10,2018,10,sullivan,89
2018-10,2018,10,sunrun,275
2018-10,2018,10,titan,808
2018-11,2018,11,freedom_forever,22
2018-11,2018,11,records,34
2018-11,2018,11,solarcity,5
2018-11,2018,11,sullivan,100
2018-11,2018,11,sunrun,304
2018-11,2018,11,titan,551
2018-12,2018,12,freedom_forever,11
2018-12,2018,12,records,22
2018-12,2018,12,solarcity,3
2018-12,2018,12,sullivan,52
2018-12,2018,12,sunrun,292
2018-12,2018,12,titan,473
2019-01,2019,1,freedom_forever,23
2019-01,2019,1,records,60
2019-01,2019,1,solarcity,5
2019-01,2019,1,sullivan,78
2019-01,2019,1,sunrun,298
2019-01,2019,1,titan,515
2019-02,2019,2,freedom_forever,16
2019-02,2019,2,records,35
2019-02,2019,2,solarcity,5
2019-02,2019,2,sullivan,60
2019-02,2019,2,sunrun,232
2019-02,2019,2,titan,552
2019-03,2019,3,freedom_forever,28
2019-03,2019,3,records,42
2019-03,2019,3,solarcity,15
2019-03,2019,3,sullivan,76
2019-03,2019,3,sunrun,263
2019-03,2019,3,titan,492
2019-04,2019,4,freedom_forever,21
2019-04,2019,4,records,47
2019-04,2019,4,solarcity,6
2019-04,2019,4,sullivan,70
2019-04,2019,4,sunrun,282
2019-04,2019,4,titan,569
2019-05,2019,5,freedom_forever,30
2019-05,2019,5,records,57
2019-05,2019,5,solarcity,12
2019-05,2019,5,sullivan,91
2019-05,2019,5,sunrun,241
2019-05,2019,5,titan,713
2019-06,2019,6,freedom_forever,24
2019-06,2019,6,records,72
2019-06,2019,6,solarcity,6
2019-06,2019,6,sullivan,100
2019-06,2019,6,sunrun,264
2019-06,2019,6,titan,783
2019-07,2019,7,freedom_forever,32
2019-07,2019,7,records,51
2019-07,2019,7,solarcity,16
2019-07,2019,7,sullivan,128
2019-07,2019,7,sunrun,274
2019-07,2019,7,titan,752
2019-08,2019,8,freedom_forever,42
2019-08,2019,8,records,63
2019-08,2019,8,solarcity,15
2019-08,2019,8,sullivan,148
2019-08,2019,8,sunrun,251
2019-08,2019,8,titan,756
2019-09,2019,9,freedom_forever,29
2019-09,2019,9,records,74
2019-09,2019,9,solarcity,15
2019-09,2019,9,sullivan,85
2019-09,2019,9,sunrun,239
2019-09,2019,9,titan,679
2019-10,2019,10,freedom_forever,43
2019-10,2019,10,records,76
2019-10,2019,10,solarcity,15
2019-10,2019,10,sullivan,106
2019-10,2019,10,sunrun,335
2019-10,2019,10,titan,832
2019-11,2019,11,freedom_forever,37
2019-11,2019,11,records,62
2019-11,2019,11,solarcity,27
2019-11,2019,11,sullivan,103
2019-11,2019,11,sunrun,235
2019-11,2019,11,titan,662
2019-12,2019,12,freedom_forever,51
2019-12,2019,12,records,67
2019-12,2019,12,solarcity,24
2019-12,2019,12,sullivan,65
2019-12,2019,12,sunrun,228
2019-12,2019,12,titan,802
2020-01,2020,1,freedom_forever,59
2020-01,2020,1,records,56
2020-01,2020,1,solarcity,7
2020-01,2020,1,sullivan,71
2020-01,2020,1,sunrun,289
2020-01,2020,1,titan,808
2020-02,2020,2,freedom_forever,60
2020-02,2020,2,records,45
2020-02,2020,2,solarcity,2
2020-02,2020,2,sullivan,34
2020-02,2020,2,sunrun,209
